ARTIST,SONG TITLE,DISC CODE
Rubettes,Cherie Amour,ZOOM-08863
Rubettes,Jukebox Jive,ZOOM-03295
Rubettes,Sugar Baby Love,ZOOM-00448
Rubettes,Tonight,ZOOM-03478
Rudimental & Ed Sheeran (Solo),Lay It All On Me,ZOOM-06600
Rudimental & Ella Eyre,Comeback (Clean),ZOOM-05716
Rudimental & Ella Eyre,Comeback (Explicit),ZOOM-05717
Rudimental & Ella Eyre (Solo),Waiting All Night,ZOOM-04631
Rudimental & Emeli Sande,Free,ZOOM-05143
Rudimental & James Arthur,Sun Comes Up,ZOOM-07684
Rudimental & Jess Glynne & Macklemore & Dan Caplen (Duet),These Days,ZOOM-07893
Rudimental & John Newman,Feel The Love,ZOOM-04140
Rufus Wainwright,Hallelujah,ZOOM-04449
Run D.M.C. (Duet),It's Tricky,ZOOM-05980
Run D.M.C. Vs Jason Nevens (Duet),It's Like That,ZOOM-04801
Run D.M.C. Vs Jason Nevins (For Solo Rapper),It's Like That,ZOOM-04800
Russ Abbot,Atmosphere,ZOOM-03541
Rusted Root,Send Me On My Way,ZOOM-05811
Ruts,Babylon's Burning,ZOOM-08474
Ryan Adams,Come Pick Me Up (Clean),ZOOM-04766
Ryan Adams,Come Pick Me Up (Explicit),ZOOM-04767
Ryan Paris,Dolce Vita,ZOOM-07803
Ryan Sheridan,Jigsaw,ZOOM-08316
S Club 7,S Club Party,ZOOM-04730
S Club 7 (Duet),Don't Stop Movin',ZOOM-03583
S Club 7 (Solo),Reach,ZOOM-04187
Sad Cafe,Every Day Hurts,ZOOM-01303
Sade,Smooth Operator,ZOOM-04429
Sailor,Glass Of Champagne,ZOOM-04593
Saliva,Ladies And Gentlemen,ZOOM-08063
Sally Oldfield,Mirrors,ZOOM-03469
Salt-N-Pepa,Push It,ZOOM-03689
Salt-N-Pepa & Big Twan (Duet),Shoop,ZOOM-07525
Salt-N-Pepa & En Vogue,Whatta Man,ZOOM-05172
Salt-N-Pepa (Solo),Let's Talk About Sex,ZOOM-04137
Sam And The Womp,Bom Bom,ZOOM-04738
Sam Bailey,Skyscraper,ZOOM-05127
Sam Brown,Stop,ZOOM-04649
Sam Cooke,(Medley) Only Sixteen + Cupid,ZOOM-07975
Sam Cooke,Another Saturday Night,ZOOM-01946
Sam Cooke,Chain Gang,ZOOM-01596
Sam Cooke,Cupid,ZOOM-01597
Sam Cooke,Only Sixteen,ZOOM-01598
Sam Cooke,Twistin' The Night Away,ZOOM-02251
Sam Cooke,Wonderful World,ZOOM-01595
Sam Cooke,You Send Me,ZOOM-01594
Sam Feldt & Kimberly Anne,Show Me Love,ZOOM-06356
Sam Feldt & Rani,Post Malone,ZOOM-08889
Sam Fender,Play God,ZOOM-08857
Sam Fender,Saturday,ZOOM-08833
Sam Fischer,This City,ZOOM-08986
Sam Smith,Burning (With Piano On Verse 1),ZOOM-07744
Sam Smith,Burning (With Silence On Verse 1),ZOOM-07745
Sam Smith,Diamonds,ZOOM-09124
Sam Smith,How Do You Sleep,ZOOM-08648
Sam Smith,Lay Me Down,ZOOM-06074
Sam Smith,Like I Can,ZOOM-05878
Sam Smith,Money On My Mind,ZOOM-05304
Sam Smith,One Last Song,ZOOM-07804
Sam Smith,Pray (Clean Version),ZOOM-07726
Sam Smith,Pray (Explicit Version),ZOOM-07727
Sam Smith,Stay With Me,ZOOM-05371
Sam Smith,Too Good At Goodbyes,ZOOM-07685
Sam Smith,Writing's On The Wall,ZOOM-06429
Sam Smith & Demi Lovato (Duet),I'm Ready,ZOOM-08945
Sam Smith & John Legend (Duet),Lay Me Down,ZOOM-06075
Sam Smith & Normani (Duet),Dancing With A Stranger,ZOOM-08412
Sam Sparro,Black And Gold,ZOOM-02412
Sammy Davis Jr.,Mr. Bojangles (Live),ZOOM-02988
Sandi Thom,I Wish I Was A Punk Rocker (With Flowers In My Hair),ZOOM-01545
Sandie Shaw,Long Live Love,ZOOM-01140
Sandie Shaw,Puppet On A String,ZOOM-01139
Sandie Shaw,There's Always Something There To Remind Me,ZOOM-01138
Santana,Black Magic Woman,ZOOM-07557
Santana & Rob Thomas,Smooth,ZOOM-01900
Sara Bareilles,Gonna Get Over You,ZOOM-09197
Sara Bareilles,Gravity,ZOOM-08783
Sara Bareilles,Love Song,ZOOM-02518
Sara Bareilles,Tightrope,ZOOM-08323
Sarah Brightman,Whiter Shade Of Pale,ZOOM-09217
Sarah Brightman & Andrea Bocelli (Duet),Time To Say Goodbye (Italian),ZOOM-08932
Sarah Brightman & Hot Gossip,I Lost My Heart To A Starship Trooper,ZOOM-00351
Sarah McLachlan,Adia,ZOOM-00080
Sarah McLachlan,Angel,ZOOM-00081
Sarah McLachlan,Dirty Little Secret,ZOOM-00082
Sarah McLachlan,Drifting,ZOOM-00046
Sarah McLachlan,Fallen,ZOOM-00084
Sarah McLachlan,Full Of Grace,ZOOM-00047
Sarah McLachlan,I Will Remember You,ZOOM-00048
Sarah McLachlan,Push,ZOOM-00086
Sarah McLachlan,Train Wreck,ZOOM-00089
Sarah McLachlan,When She Loved Me,ZOOM-09060
Sarah McLachlan,World On Fire,ZOOM-00042
Saturdays,All Fired Up,ZOOM-03718
Saturdays,Disco Love,ZOOM-04974
Saturdays,Ego,ZOOM-03028
Saturdays,Forever Is Over,ZOOM-02943
Saturdays,Issues,ZOOM-02703
Saturdays,Just Can't Get Enough,ZOOM-02746
Saturdays,Missing You,ZOOM-03287
Saturdays,Up,ZOOM-02615
Saturdays,What Are You Waiting For,ZOOM-05659
Saturdays & Flo Rida (Duet),Higher,ZOOM-04534
Saturdays & Flo Rida (Fsolo),Higher,ZOOM-04520
Saturdays & Sean Paul,What About Us,ZOOM-04569
Savage Garden,I Want You,ZOOM-09046
Savage Garden,Truly Madly Deeply,ZOOM-04523
Saw Doctors,Green And Red Of Mayo,ZOOM-07746
Saw Doctors,I Useta Lover,ZOOM-07697
Saw Doctors,Never Mind The Strangers,ZOOM-07721
Saw Doctors,Red Cortina,ZOOM-07651
Saw Doctors,To Win Just Once,ZOOM-07707
Scaffold,Lily The Pink,ZOOM-02345
Scissor Sisters,Comfortably Numb,ZOOM-00069
Scissor Sisters,Everybody Wants The Same Thing,ZOOM-02021
Scissor Sisters,Filthy-Gorgeous,ZOOM-00070
Scissor Sisters,Fire With Fire,ZOOM-03201
Scissor Sisters,I Can't Decide,ZOOM-01997
Scissor Sisters,I Don't Feel Like Dancin',ZOOM-01641
Scissor Sisters,Intermission,ZOOM-02036
Scissor Sisters,It Can't Come Quickly Enough,ZOOM-00121
Scissor Sisters,Kiss You Off,ZOOM-01998
Scissor Sisters,Land Of A Thousand Words,ZOOM-01999
Scissor Sisters,Laura,ZOOM-00076
Scissor Sisters,Lights,ZOOM-02037
Scissor Sisters,Lovers In The Backseat,ZOOM-00122
Scissor Sisters,Mary,ZOOM-00078
Scissor Sisters,Might Tell You Tonight,ZOOM-02020
