ARTIST,SONG TITLE,DISC CODE
Barry White,Can't Get Enough Of Your Love,MM-10817
Barry White,"I'm Gonna Love You Just A Little More, Baby",MM-14100
Barry White,Never Never Gonna Give You Up,MM-10811
Barry White,"You're The First, The Last, My Everything",MM-14108
Baz Luhrmann,Everybody's Free (To Wear Sunscreen),MM-13980
BB Mak,Back Here,MM-14549
BB Mak,Ghost Of You And Me,MM-14976
BB Mak,Out Of My Heart (Into Your Head),MM-15422
BB Mak,Still On Your Side,MM-14783
Beach Boys,Barbara Ann,MM-14989
Beach Boys,California Girls,MM-14991
Beach Boys,Kokomo,MM-11882
Beach Boys & James House,Little Deuce Coupe,MM-12487
Beastie Boys,Fight For Your Right To Party,MM-12468
Beastie Boys,No Sleep 'Til Brooklyn,MM-15585
Beatles,And I Love Her,MM-14731
Beatles,Baby You're A Rich Man,MM-10882
Beatles,Back In The U.S.S.R.,MM-10881
Beatles,Continuing Story Of Bungalow Bill,MM-10869
Beatles,Dear Prudence,MM-10878
Beatles,Do You Want To Know A Secret,MM-10879
Beatles,Drive My Car,MM-10871
Beatles,Eleanor Rigby,MM-10892
Beatles,From Me To You,MM-10885
Beatles,Get Back,MM-10895
Beatles,Get Back (UpTempo Version),MM-14722
Beatles,Getting Better All The Time,MM-10887
Beatles,Good Day Sunshine,MM-10890
Beatles,Got To Get You Into My Life,MM-10889
Beatles,Hard Day's Night,MM-14724
Beatles,Help,MM-14734
Beatles,Helter Skelter,MM-10876
Beatles,Here Comes The Sun,MM-10872
Beatles,"Here, There And Everywhere",MM-14733
Beatles,Hey Jude,MM-10873
Beatles,I Am The Walrus,MM-10880
Beatles,I Saw Her Standing There,MM-14727
Beatles,I Want To Hold Your Hand,MM-14725
Beatles,I'll Follow The Sun,MM-14729
Beatles,I'm Happy Just To Dance With You,MM-10874
Beatles,It Won't Be Long,MM-10870
Beatles,Lovely Rita,MM-10891
Beatles,Magical Mystery Tour,MM-10893
Beatles,Maxwell's Silver Hammer,MM-10886
Beatles,"Ob-La-Di, Ob-La-Da",MM-14728
Beatles,Octopus's Garden,MM-10894
Beatles,Rocky Raccoon,MM-10867
Beatles,Sexy Sadie,MM-10868
Beatles,Sgt. Pepper's Lonely Hearts Club Band,MM-10884
Beatles,She Came In Through The Bathroom Window,MM-10896
Beatles,She Loves You,MM-14726
Beatles,Things We Said Today,MM-14730
Beatles,Twist & Shout,MM-10537
Beatles,When I'm Sixty-Four,MM-10888
Beatles,While My Guitar Gently Weeps,MM-10875
Beatles,Why Don't We Do It In The Road,MM-10877
Beatles,Yesterday,MM-14732
Beatles,You Can't Do That,MM-14723
Beatles,Your Mother Should Know,MM-10883
Beck,Sexx Laws,MM-14322
Becky Hobbs,Jones On The Jukebox,MM-10741
Bee Gees,Alone,MM-13001
Bee Gees,Night Fever,MM-14082
Bee Gees,Stayin' Alive,MM-10248
Bell Biv Devoe,Poison,MM-15581
Bellamy Brothers,Cowboy Beat,MM-11309
Bellamy Brothers,Old Hippie (The Sequel) (1995),MM-12123
Bellamy Brothers,Rip Off The Knob,MM-11307
Belle Stars,Iko Iko,MM-11481
Ben E. King,Stand By Me,MM-12388
Ben Folds Five,Brick,MM-13428
Ben Harper,Steal My Kisses,MM-14597
Benny Goodman Orchestra,And The Angels Sing,MM-12730
Berlin,Take My Breath Away,MM-11469
Bertie Higgins,Just Another Day In Paradise,MM-11702
Bertie Higgins,Key Largo,MM-11661
Beth Hart,Delicious Surprise (I Believe),MM-14601
Beth Hart,L.A. Song,MM-14254
Beth Nielsen Chapman,In The Time It Takes,MM-10674
Beth Nielsen Chapman,Sand And Water,MM-13339
Bette Midler,Friends,MM-10682
Bette Midler,From A Distance,MM-10776
Bette Midler,Glory Of Love,MM-10773
Bette Midler,In My Life,MM-10769
Bette Midler,My One True Friend,MM-13746
Bette Midler,Rose,MM-13220
Bette Midler,That's How Love Moves,MM-14217
Bette Midler,Under The Boardwalk,MM-10766
Bette Midler,Wind Beneath My Wings,MM-10396
Better Than Ezra,At The Stars,MM-13825
Better Than Ezra,Extra Ordinary,MM-15103
Betty Everett,It's In His Kiss,MM-12432
Beyonce & Jay-Z (Solo),Crazy In Love,MM-15751
Beyonce & Sean Paul (Duet),Baby Boy,MM-15808
Big & Rich,Big Time,MM-16346
Big & Rich,Holy Water,MM-16255
Big & Rich (Solo),Save A Horse (Ride A Cowboy),MM-16105
Big & Rich (Solo),Wild West Show,MM-15970
Big Bopper,Chantilly Lace,MM-10091
Big House,Cold Outside,MM-12805
Big House,Faith,MM-13588
Big House,Love Ain't Easy,MM-13279
Big Mountain,Baby I Love Your Way,MM-10664
Big Mountain,Get Together,MM-11973
Big Time Operator,It Don't Mean A Thing (It Ain't Got That Swing),MM-13716
Big Twist And The Mellow Fellows,300 Pounds Of Heavenly Joy,MM-13030
Bill Clinton (Parody),Bimbo #5,MM-14825
Bill Haley & His Comets,Rock Around The Clock,MM-10536
Bill Medley & Jennifer Warnes (Duet),(I've Had) The Time Of My Life,MM-10373
Bill Withers,Ain't No Sunshine,MM-15887
Billie Holiday,Ain't Nobody's Business,MM-12103
Billie Holiday,All Of Me,MM-13805
Billie Holiday,All The Way,MM-13795
Billie Holiday,Come Rain Or Come Shine,MM-13791
Billie Holiday,Crazy He Calls Me,MM-12110
Billie Holiday,God Bless The Child,MM-10820
Billie Holiday,Good Morning Heartache,MM-16359
Billie Holiday,He's Funny That Way,MM-12112
Billie Holiday,It Will Have To Do Until The Real Thing Comes Along,MM-13802
Billie Holiday,Night And Day,MM-13799
Billie Myers,Kiss The Rain,MM-13332
Billie Myers,Tell Me,MM-13689
Billy Currington,I Got A Feelin',MM-15964
Billy Currington,Walk A Little Straighter,MM-15716
Billy Dean,Cowboy Band,MM-10918
Billy Dean,I Wouldn't Be A Man,MM-12678
Billy Dean,It's What I Do,MM-12012
Billy Dean,Let Them Be Little,MM-16214
Billy Dean,Once In A While,MM-11793
Billy Dean,Only The Wind,MM-10260
Billy Dean,Real Man,MM-13715
Billy Dean,That Girl's Been Spyin' On Me,MM-12343
Billy Dean,Tryin' To Hide A Fire In The Dark,MM-10738
Billy Dean,We Just Disagree,MM-10580
Billy Gilman,One Voice,MM-14559
Billy Idol,Mony Mony,MM-11556
Billy Joe Royal,Cherry Hill Park,MM-11396
Billy Joe Royal,Down In The Boondocks,MM-11404
Billy Joel,All About Soul,MM-10572
